"original_path","new_path","category","experiment_id","action","reason","verified","migration_phase"
"Graficas/GEN_Resultados_Finales.py","legacy/diagnostics/Graficas/GEN_Resultados_Finales.py","LEGACY","DIAG-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"concept_drift_old/VF3_Visualizacion_Datos_ConceptDrift_Vectores.py","legacy/diagnostics/concept_drift_old/VF3_Visualizacion_Datos_ConceptDrift_Vectores.py","LEGACY","DIAG-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"features_old/GEN_01B_Degradacion_Drift.py","legacy/diagnostics/features_old/GEN_01B_Degradacion_Drift.py","LEGACY","FEAT-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"features_old/GEN_01_Ranking_Outliers.py","legacy/diagnostics/features_old/GEN_01_Ranking_Outliers.py","LEGACY","FEAT-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"features_old/GEN_02_PCA.py","legacy/diagnostics/features_old/GEN_02_PCA.py","LEGACY","FEAT-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"features_old/GEN_03_Ortogonalidad.py","legacy/diagnostics/features_old/GEN_03_Ortogonalidad.py","LEGACY","FEAT-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"features_old/GEN_04_PSI_KDE.py","legacy/diagnostics/features_old/GEN_04_PSI_KDE.py","LEGACY","FEAT-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"features_old/GEN_05_PCA_Traslacion.py","legacy/diagnostics/features_old/GEN_05_PCA_Traslacion.py","LEGACY","FEAT-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"features_old/GEN_06_Similitud_Metric.py","legacy/diagnostics/features_old/GEN_06_Similitud_Metric.py","LEGACY","FEAT-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"EXP6_02_Matriz_Similitud_Capturas.py","legacy/diagnostics/root/EXP6_02_Matriz_Similitud_Capturas.py","LEGACY","DIAG-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"EXP6_03_Visualizacion_Resumida.py","legacy/diagnostics/root/EXP6_03_Visualizacion_Resumida.py","LEGACY","DIAG-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"EXP6_Prueba_XGBoost_Features_24h_Visual.py","legacy/diagnostics/root/EXP6_Prueba_XGBoost_Features_24h_Visual.py","LEGACY","DIAG-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"VF5_Evaluar_ConceptDrift_Features.py","legacy/diagnostics/root/VF5_Evaluar_ConceptDrift_Features.py","LEGACY","DIAG-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"VF6_Analisis_Covariate_Shift.py","legacy/diagnostics/root/VF6_Analisis_Covariate_Shift.py","LEGACY","DIAG-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"vectores/VF3_Visualizacion_Datos_ConceptDrift_Vectores.py","legacy/diagnostics/vectores/VF3_Visualizacion_Datos_ConceptDrift_Vectores.py","LEGACY","DIAG-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"deep_metric_learning/fase1_preprocess_hourly.py","legacy/dml/phased/fase1_preprocess_hourly.py","LEGACY","DML-003","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"deep_metric_learning/fase2_dataloader.py","legacy/dml/phased/fase2_dataloader.py","LEGACY","DML-003","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"deep_metric_learning/fase3_arquitectura.py","legacy/dml/phased/fase3_arquitectura.py","LEGACY","DML-003","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"deep_metric_learning/fase4_entrenamiento.py","legacy/dml/phased/fase4_entrenamiento.py","LEGACY","DML-003","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"deep_metric_learning/fase5_evaluacion.py","legacy/dml/phased/fase5_evaluacion.py","LEGACY","DML-003","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"deep_metric_learning/faseL_ConcepDrift.py","legacy/dml/phased/faseL_ConcepDrift.py","LEGACY","DML-003","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"EXP2_Train_45F3000V_Neutro.py","legacy/hybrid/45F/EXP2_Train_45F3000V_Neutro.py","LEGACY","HYB-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"EXP3_Train_45F3000V_InclinadoF.py","legacy/hybrid/45F/EXP3_Train_45F3000V_InclinadoF.py","LEGACY","HYB-002","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"EXP2_Evaluar_45F3000V_Neutro.py","legacy/hybrid/45F/concept_drift_old/EXP2_Evaluar_45F3000V_Neutro.py","LEGACY","HYB-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"concept_drift_old/EXP3_Evaluar_45F3000V_InclinadoF.py","legacy/hybrid/45F/concept_drift_old/EXP3_Evaluar_45F3000V_InclinadoF.py","LEGACY","HYB-002","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"concept_drift_old/EXP4_Evaluar_45F3000V_InclinadoV.py","legacy/hybrid/45F/concept_drift_old/EXP4_Evaluar_45F3000V_InclinadoV.py","LEGACY","HYB-LEGACY-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"concept_drift_old/EXP5_Evaluar_45F3000V_CrossAttention.py","legacy/hybrid/45F/concept_drift_old/EXP5_Evaluar_45F3000V_CrossAttention.py","LEGACY","HYB-LEGACY-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"concept_drift_old/EXP2_Evaluar_45F3000V_Neutro.py","legacy/hybrid/45F/root/EXP2_Evaluar_45F3000V_Neutro.py","LEGACY","HYB-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"VF1_Trans_dir_size_feat.py","legacy/hybrid/initial/VF1_Trans_dir_size_feat.py","LEGACY","HYB-LEGACY-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"EXP1_Evaluar_ConceptDrift_45F.py","legacy/macro/45F/EXP1_Evaluar_ConceptDrift_45F.py","LEGACY","MACRO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
"EXP1_Train_45F_Invariantes.py","legacy/macro/45F/EXP1_Train_45F_Invariantes.py","LEGACY","MACRO-001","git mv","Preservar linaje histórico y separar código no activo; no se modifica contenido.","true","1"
