pipeline_id,family,name,generation,script,input,output,environment,exists,status,notes
DATA-001,DATA,PCAP preprocessing,current,01_preprocesamiento.py,Raw PCAP,final_features_sites.csv and final_vectors_sites.csv,zeus,UNKNOWN,implemented,Scapy reader; no capture automation found
DATA-002,DATA,Hourly aggregation and invariant feature selection,current,02_preprocesamiento_d_f_24.py,output/final_features_sites.csv,01_all_features.csv 02_features_robust_.csv 03_features_maestras.csv,zeus,UNKNOWN,implemented,Builds site-date-hour skeleton and selects stable features
FEAT-001,FEAT,Stability analysis across 230/94/45 feature generations,mixed,features/GEN_* and features_old/GEN_*,Hourly macro features,feature lists plots and drift diagnostics,zeus,UNKNOWN,partial,Historical generations use different consensus and selection files
MICRO-001,MICRO,Direction-only Transformer,legacy,VP2_Transformers_directions.py,Historic raw vectors,model and evaluation outputs,zeus,UNKNOWN,code_only,Random stratified split; max sequence 3000
MICRO-002,MICRO,Direction plus size Transformer,current,vectores/VP1_Transformers_dir_size.py,Clean historic vectors,ds3 checkpoint encoder scaler and report,zeus,UNKNOWN,partial,Train-only min/max scaler in current trainer
MACRO-001,MACRO,Temporal 45F encoder,legacy,EXP1_Train_45F_Invariantes.py,Robust historic features,45F checkpoint scaler encoder and logs,zeus,UNKNOWN,code_only,Older implementation fits scaler before random split
MACRO-002,MACRO,Temporal 94F encoder,current,features/EXP1_Train_Invariantes.py,Clean historic features,94F checkpoint scaler encoder and plots,zeus,UNKNOWN,partial,Random stratified split despite temporal research role
MACRO-003,MACRO,XGBoost meta-features,current,features/EXP2_XGBoost_MetaFeatures_24h.py,94 macro features,feature importance plots and diagnostics,zeus,UNKNOWN,code_only,Creates 752 aggregate statistics per daily profile
HYB-001,HYB,45F neutral hybrid,legacy,EXP2_Train_45F3000V_Neutro.py,Historic vectors plus robust 45F,hybrid checkpoint and drift report,zeus,UNKNOWN,code_only,Chronological per-site split; scaler fit over all historical rows
HYB-002,HYB,45F feature-biased hybrid,legacy,EXP3_Train_45F3000V_InclinadoF.py,Historic vectors plus robust 45F,hybrid checkpoint and drift report,zeus,UNKNOWN,code_only,Feature modality dropout; older generation
HYB-003,HYB,94F neutral hybrid,current,vectores_features_v2/EXP2_Train_94F3000V_Neutro.py,Clean vectors plus clean 94F features,checkpoint scaler encoder and drift outputs,zeus,UNKNOWN,partial,Chronological per-site split; scaler train-only
HYB-004,HYB,94F feature-biased hybrid,current,vectores_features_v2/EXP3_Train_94F3000V_InclinadoF.py,Clean vectors plus clean 94F features,checkpoint scaler encoder and drift outputs,zeus,UNKNOWN,partial,Feature modality dropout 50 percent
HYB-005,HYB,94F vector-biased hybrid,current,vectores_features_v2/EXP4_Train_94F3000V_InclinadoV.py,Clean vectors plus clean 94F features,checkpoint scaler encoder and drift outputs,zeus,UNKNOWN,partial,Vector-biased pretraining for DML-002
HYB-006,HYB,94F Cross-Attention hybrid,current,vectores_features_v2/EXP5_Train_94F3000V_CrossAttention.py,Clean vectors plus clean 94F features,checkpoint scaler encoder and drift outputs,zeus,UNKNOWN,partial,Vector queries attend to temporal Macro sequence
HYB-LEGACY-001,HYB,Legacy Mega Hybrid v1,legacy,VF1_Trans_dir_size_feat.py,Historic vectors plus robust feature CSV,mega checkpoint and metadata,zeus,UNKNOWN,code_only,Chronological tail split but scaler fit before split
DML-001,DML,Hybrid multitask DML,current,vectores_features_v2/EXP6_Train_DML_InclinadoV.py,Clean vectors plus clean 94F features,DML checkpoint embeddings labels and drift report,zeus,UNKNOWN,partial,Supervised contrastive plus classification; unseeded sampling
DML-002,DML,Transfer DML,current,vectores_features_v2/EXP7_Train_Transfer_DML.py,HYB-005 checkpoint plus clean data,transfer checkpoint embeddings labels and drift report,zeus,UNKNOWN,partial,Depends on HYB-005 checkpoint
DML-003,DML,Phased hourly DML pipeline,legacy,deep_metric_learning/fase1_preprocess_hourly.py through fase5_evaluacion.py,Raw historic vectors and features,tensors checkpoint embeddings and future evaluation,zeus,UNKNOWN,partial,Potential 3-channel versus 2-channel architecture inconsistency
SOTA-001,SOTA,CUMUL SVM,legacy,estado_del_arte/SOTA_01_CUMUL_SVM.py,Historic and future macro features,classification reports plots and logs,zeus,UNKNOWN,code_only,Reports training accuracy on all historical data
SOTA-002,SOTA,Deep Fingerprinting CNN,legacy,estado_del_arte/SOTA_02_DeepFingerprinting_CNN.py,Historic and future direction vectors,CNN checkpoint curves reports,zeus,UNKNOWN,code_only,Random stratified internal split
SOTA-003,SOTA,Rimmer LSTM,legacy,estado_del_arte/SOTA_03_Rimmer_LSTM.py,Historic and future direction vectors,LSTM checkpoint curves reports,zeus,UNKNOWN,code_only,Random stratified internal split
PROTO-001,PROTO,MLP tabular prototype,legacy,P2_MLP_prueba.py and related P2 scripts,Preprocessed macro features,prototype checkpoint and plots,zeus,UNKNOWN,code_only,Exploratory and not linked to final results
PROTO-002,PROTO,TabNet prototype,legacy,P3_TabNET_prueba.py,Preprocessed macro features,TabNet checkpoint and encoder,zeus,UNKNOWN,code_only,Exploratory and not linked to final results
PROTO-003,PROTO,Tabular Transformer prototype,legacy,P4_Transformers_prueba.py,Preprocessed macro features,Transformer checkpoint and encoder,zeus,UNKNOWN,code_only,Exploratory and not linked to final results
DIAG-001,DIAG,Final result synthesis and diagnostic figures,mixed,Graficas/GEN_Resultados_Finales.py,Existing diagnostic plots and hardcoded result arrays,graficas_tesis_finales/G_Final_*.png,local,UNKNOWN,diagnostic,Not a model experiment; associated artifacts remain UNASSIGNED when producer is not known
