experiment_id,family,name,generation,status,research_role,input_representation,feature_set,sequence_length,train_dataset,validation_dataset,future_dataset,split_strategy,training_script,evaluation_script,model_file,checkpoint,scaler,label_encoder,seed,initial_accuracy,future_accuracy,accuracy_drop,accuracy_retention,result_source,known_issues,notes
MICRO-001,MICRO,Transformer direction-only,legacy,R1,micro baseline,direction vector,none,3000,DS-003,NONE,DS-007,random stratified 80/20 seed 42,legacy/micro/initial/VP2_Transformers_directions.py,legacy/micro/vectores/VP_Test_modelos.py,Transformer direction branch,ds2_best_multimodal_transformer_vec_3000.pth,not used,ds2_label_encoder_vec_3000.joblib,42,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Expected ds2 artifacts absent; possible temporal leakage,Candidate for known Micro result
MICRO-002,MICRO,Transformer direction plus size,current,R3,micro baseline and ablation,direction vector plus size vector,none,3000,DS-005,NONE,DS-009,random stratified 80/20 seed 42,src/models/micro/VP1_Transformers_dir_size.py,src/evaluation/VP_Evaluar_ConceptDrift_Vectores.py,Transformer with embedding size projection and Conv1D,ds3_best_multimodal_transformer_vec_3000.pth,ds3_minmax_scaler_vec_3000.joblib,ds3_label_encoder_vec_3000.joblib,42,0.9645,0.2321,0.7324,0.2406,Zeus verified artifacts and historical logs; SHA256-verified migration to ltd-storage,Historical experiment uses random stratified 80/20 split; not canonical temporal methodology. Future set must remain sealed for new experiments.,TRACEABLE historical baseline. CLEAN historical: 77685 rows / 69 sites; effective ds3 subset: 72603 rows / 65 sites; IID test: 14521 rows. CLEAN future: 20363 rows / 69 sites; effective future subset: 18543 rows / 65 sites. Historical window 2025-11-18..2026-01-08; future window 2026-03-23..2026-04-07; gap approx 74 days. Checkpoint/scaler/encoder/mapping physically verified.
MACRO-001,MACRO,Temporal 45F,legacy,R1,macro baseline,24-hour feature tensor,45 invariant features,N/A,DS-014,NONE,DS-016,random stratified seed 42,legacy/macro/45F/EXP1_Train_45F_Invariantes.py,legacy/macro/45F/EXP1_Evaluar_ConceptDrift_45F.py,GlobalSiteEncoder,best_model_45F.pth,scaler_45.joblib,le_45.joblib,42,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Scaler fitted before split; expected 45-feature list absent,Older macro generation
MACRO-002,MACRO,Temporal 94F,current,R2,macro baseline,24-hour feature tensor,94 invariant features,N/A,DS-004,NONE,DS-008,random stratified seed 42,src/models/macro/EXP1_Train_Invariantes.py,src/evaluation/EXP1_Evaluar_Invariantes.py,GlobalSiteEncoder,best_model_invariantes.pth,scaler_invariantes.joblib,le_invariantes.joblib,42,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,hardcoded,Random split can leak time; current scaler is fitted on train rows only,Current macro generation
MACRO-003,MACRO,XGBoost meta-features,current,R1,macro baseline,Daily statistics over macro features,94 features expanded to 752,N/A,DS-004,NONE,DS-008,script-specific,src/models/macro/EXP2_XGBoost_MetaFeatures_24h.py,integrated,XGBoost model not persisted,N/A,StandardScaler in memory,elite encoder expected,42 where configured,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,No saved model or final log,Diagnostic/baseline role
HYB-001,HYB,45F neutral,legacy,R1,hybrid comparison,Micro direction plus size and Macro profile,45 invariant features,3000,DS-003;DS-014,NONE,DS-007;DS-016,chronological per-site,legacy/hybrid/45F/EXP2_Train_45F3000V_Neutro.py,legacy/hybrid/45F/root/EXP2_Evaluar_45F3000V_Neutro.py,MegaHybridModel,best_model_hibrido_neutro.pth,scaler_hibrido_neutro.joblib,le_hibrido_neutro.joblib,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Scaler fit over all history; result directory absent,Older hybrid generation
HYB-002,HYB,45F feature-biased,legacy,R1,hybrid comparison,Micro direction plus size and Macro profile,45 invariant features,3000,DS-003;DS-014,NONE,DS-007;DS-016,chronological per-site,legacy/hybrid/45F/EXP3_Train_45F3000V_InclinadoF.py,legacy evaluator if available,MegaHybridModel,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Older generation and incomplete result linkage,Feature-biased modality dropout
HYB-003,HYB,94F neutral,current,R2,hybrid comparison,Micro direction plus size and Macro profile,94 invariant features,3000,DS-005;DS-004,NONE,DS-009;DS-008,chronological per-site,src/models/hybrid/EXP2_Train_94F3000V_Neutro.py,src/evaluation/EXP2_Evaluar_94F3000V_Neutro.py,MegaHybridModel,best_model_hibrido_neutro.pth,scaler_hibrido_neutro.joblib,le_hibrido_neutro.joblib,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Required sibling feature list and Zeus datasets absent,Current hybrid generation
HYB-004,HYB,94F feature-biased,current,R2,hybrid comparison,Micro direction plus size and Macro profile,94 invariant features,3000,DS-005;DS-004,NONE,DS-009;DS-008,chronological per-site,src/models/hybrid/EXP3_Train_94F3000V_InclinadoF.py,src/evaluation/EXP3_Evaluar_94F3000V_InclinadoF.py,MegaHybridModel,best_model_hibrido_inclinadoF.pth,scaler_hibrido_incF.joblib,le_hibrido_incF.joblib,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Feature modality dropout 50 percent,Current hybrid generation
HYB-005,HYB,94F vector-biased,current,R2,hybrid pretraining,Micro direction plus size and Macro profile,94 invariant features,3000,DS-005;DS-004,NONE,DS-009;DS-008,chronological per-site,src/models/hybrid/EXP4_Train_94F3000V_InclinadoV.py,src/evaluation/EXP4_Evaluar_94F3000V_InclinadoV.py,MegaHybridModel,best_model_hibrido_inclinado_vec.pth,scaler_hibrido_incV.joblib,le_hibrido_incV.joblib,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,Vector modality bias and DML dependency,Current hybrid generation
