dataset_id,name,environment,path,exists,role,input_schema,representation,temporal_scope,notes
DS-001,Raw PCAP captures,zeus,/data/Datos/,UNKNOWN,source,PCAP/PCAPNG,packets with TCP/IP,unknown,Absolute path explicitly referenced by preprocessing documentation
DS-002,Historic raw features,zeus,output/final_features_sites.csv,UNKNOWN,source,pcap metadata plus feature columns,one row per capture,initial/historic,Expected by preprocessing and DML pipelines
DS-003,Historic raw vectors,zeus,output/final_vectors_sites.csv,UNKNOWN,source,pcap_uid site_label direction_vector time_vector size_vector,variable-length packet sequences,historic,Expected by Micro pipelines
DS-004,Clean historic features,zeus,output/CLEAN_final_features_sites.csv,UNKNOWN,model input,site/date/hour plus macro columns,24-hour macro profiles,historic,Expected by v2 hybrid and current Macro experiments
DS-005,Clean historic vectors,zeus,output/CLEAN_final_vectors_sites.csv,UNKNOWN,model input,pcap_uid site_label direction_vector time_vector size_vector,padded/truncated Micro sequences,historic,Expected by current Micro and v2 hybrid experiments
DS-006,Historic concept-drift raw features,zeus,output/final_features_sites_concept_drift.csv,UNKNOWN,evaluation,raw feature schema,features with date/hour,future,Used to bridge future vectors and labels
DS-007,Historic concept-drift raw vectors,zeus,output/final_vectors_sites_concept_drift.csv,UNKNOWN,evaluation,vector schema,variable-length packet sequences,future,Expected by vector drift evaluators
DS-008,Clean concept-drift features,zeus,output/CLEAN_final_features_sites_concept_drift.csv,UNKNOWN,evaluation,clean feature schema,24-hour macro profiles,future,Expected by v2 evaluators
DS-009,Clean concept-drift vectors,zeus,output/CLEAN_final_vectors_sites_concept_drift.csv,UNKNOWN,evaluation,clean vector schema,padded/truncated Micro sequences,future,Expected by v2 evaluators
DS-010,Cached vectors with dates,zeus,output/cached_vectors_with_dates.csv,UNKNOWN,join/cache,pcap vector plus date/hour metadata,Micro sequences with temporal metadata,historic,Required by v2 hybrid and DML training
DS-011,Preprocessed all features,local,data/local/historical/01_all_features.csv,TRUE,derived,site_label date_id hour_bin vector_len plus approximately 130 features,aggregated hourly feature rows,unknown,Large local artifact likely from an earlier generation
DS-012,Local vector export,local,data/local/historical/final_vectors_sites.csv,TRUE,derived,pcap_uid site_label direction_vector time_vector size_vector,variable-length vectors,unknown,Local root artifact not proven to match DS-011
DS-013,Preprocessed all features expected,zeus,output/preprocessed/01_all_features.csv,UNKNOWN,derived,site/date/hour plus macro columns,site-date-hour skeleton,historic,Generated by DATA-002
DS-014,Robust feature set,zeus,output/preprocessed/02_features_robust_.csv,UNKNOWN,derived,selected macro feature columns,robust macro profiles,historic,Input to older Macro and hybrid experiments
DS-015,Master feature set,zeus,output/preprocessed/03_features_maestras.csv,UNKNOWN,derived,master macro feature columns,selected macro profiles,historic,Generated by DATA-002
DS-016,Robust drift feature set,zeus,output/preprocessed/02_features_robust_drift.csv,UNKNOWN,derived,selected macro feature columns,robust macro profiles,future,Expected by older drift evaluators
DS-017,Daily embeddings,local,data/local/historical/05_01_daily_embeddings_maestras.csv,TRUE,derived,site_label date_id day_emb_*,daily embeddings,unknown,Local artifact from an earlier embedding pipeline
DS-018,Site embeddings,local,data/local/historical/06_all_site_embeddings_maestras.csv,TRUE,derived,site_label site_emb_*,site-level embeddings,unknown,Local artifact from an earlier embedding pipeline
DS-019,Site dictionary,local,data/local/historical/site_dictionary.csv,TRUE,metadata,integer label to website mapping,website IDs,unknown,Root dictionary not proven to be the encoder used by current models
DS-020,Hourly DML tensor,zeus,deep_metric_learning/resultados/X_hourly_raw.npy,UNKNOWN,DML input,24 x 3000 x channels,zero-padded hourly tensors,historic,Generated by DML-003 phase 1
DS-021,Hourly DML labels,zeus,deep_metric_learning/resultados/y_hourly_raw.npy,UNKNOWN,DML labels,one label per hourly tensor,integer site labels,historic,Generated by DML-003 phase 1
